item_id,Question,Chapter,Keyword,Correct Answer,Choices,VidioLink
1,Keterkaitan semua subsistem iklim yang berbeda tetapi saling berinteraksi dan terintegrasi disebut sebagai,Iklim dan Perubahan Iklim,"Pengantar Cuaca dan Iklim, definisi cuaca dan iklim",Sistem Iklim,"[""Sistem Iklim"", ""Cuaca"", ""Sistem cuaca"", ""Siklus perubahan iklim""]",https://drive.google.com/file/d/1ILuFGXWZ8IRl9kzTAw-LS-cGI5VJKDc8/view?usp=drive_link
2,Parameter cuaca yang menjadi pembeda utama antara wilayah tropis dengan wilayah subtropis dan kutub adalah,Iklim dan Perubahan Iklim,"Pengantar Cuaca dan Iklim, definisi cuaca dan iklim",Temperatur,"[""Tekanan"",""Kelembaban relatif"", ""Temperatur"", ""Curah hujan""]",https://drive.google.com/file/d/1ILuFGXWZ8IRl9kzTAw-LS-cGI5VJKDc8/view?usp=drive_link
3,"Radiasi matahari yang masuk ke dalam sistem bumi akan ditransmisikan, direfleksikan, diabsorpsi, dibiaskan, dan dihamburkan oleh partikel yang ada di atmosfer. Rasio antara radiasi yang diserap dan yang diterima disebut sebagai",Iklim dan Perubahan Iklim,"Pengantar Cuaca dan Iklim, Komponen cuaca dan iklim (suhu, curah hujan, kelembapan, angin)",Absorptivitas,"[""Albedo"", ""Absorptivitas"", ""Reflektivitas"", ""Transmisivitas""]",https://drive.google.com/file/d/1ILuFGXWZ8IRl9kzTAw-LS-cGI5VJKDc8/view?usp=drive_link
4,"Atmosfer terdiri atas tiga komponen, yaitu uap air, udara kering, dan",Iklim dan Perubahan Iklim,"Pengantar Cuaca dan Iklim, struktur dan komposisi atmosfer",Aerosol,"[""Awan"", ""Aerosol"",""Argon"", ""Gas permanen""]",https://drive.google.com/file/d/1ILuFGXWZ8IRl9kzTAw-LS-cGI5VJKDc8/view?usp=drive_link
5,Kondisi atmosfer dapat dikatakan stabil apabila,Iklim dan Perubahan Iklim,Pengantar Cuaca dan Iklim,Dry Adiabatic Lapse Rate > Environmental Adiabatic Lapse Rate,"[""Dry Adiabatic Lapse Rate = Environmental Adiabatic Lapse Rate"", ""Wet Adiabatic Lapse Rate = Dry Adiabatic Lapse Rate"", ""Wet Adiabatic Lapse Rate < Environmental Adiabatic Lapse Rate"", ""Dry Adiabatic Lapse Rate > Environmental Adiabatic Lapse Rate""]",https://drive.google.com/file/d/1ILuFGXWZ8IRl9kzTAw-LS-cGI5VJKDc8/view?usp=drive_link
6,"Di bawah ini merupakan bentuk konservasi lahan untuk usaha pertanian, kecuali",Iklim dan Perubahan Iklim,Sirkulasi Atmosfer,Contouring,"[""Crop rotation"", ""Contouring"", ""Agroforestri"", ""Tanam terpadu""]
",https://drive.google.com/file/d/1ILuFGXWZ8IRl9kzTAw-LS-cGI5VJKDc8/view?usp=drive_link
7,Gaya Coriolis akan membelokkan angin yang bergerak di belahan bumi utara ke arah,Iklim dan Perubahan Iklim,Sirkulasi Atmosfer,Kanan,"[""Kiri"", ""Kanan"", ""Tegak lurus isoterm"", ""Memutar""]",https://drive.google.com/file/d/1ILuFGXWZ8IRl9kzTAw-LS-cGI5VJKDc8/view?usp=drive_link
8,Angin muson merupakan salah satu penentu dari keadaan cuaca dan iklim di Indonesia. Salah satu ciri dari angin muson adalah,Iklim dan Perubahan Iklim,Sirkulasi Atmosfer,Kecepatan angin minimal 3 meter per detik,"[""Angin berbalik arah 18⁰"", ""Kecepatan angin minimal 3 meter per detik"", ""Persistensi rata-rata arah angin utama 30%"", ""Pola tekanan berubah-ubah dengan cepat""]",https://drive.google.com/file/d/1ILuFGXWZ8IRl9kzTAw-LS-cGI5VJKDc8/view?usp=drive_link
9,Hujan yang terjadi di daerah pegunungan biasanya diakibatkan oleh massa udara yang melewati salah satu sisi gunung dan membawa banyak uap air. Hujan yang terjadi di wilayah pegunungan disebut sebagai jenis hujan,Iklim dan Perubahan Iklim,Sirkulasi Atmosfer,Orografis,"[""Konvektif"", ""Orografis"", ""Konvergensi"", ""Frontal""]",https://drive.google.com/file/d/1ILuFGXWZ8IRl9kzTAw-LS-cGI5VJKDc8/view?usp=drive_link
10,Bangkok yang akan menjadi tuan rumah IGeo 2025 memiliki klasifikasi iklim Koppen berupa,Iklim dan Perubahan Iklim,Klasifikasi Iklim,Aw,"[""Aw"", ""Bs"", ""C"", ""Cfa""]",https://drive.google.com/file/d/1ILuFGXWZ8IRl9kzTAw-LS-cGI5VJKDc8/view?usp=drive_link
11,Badan Meteorologi Australia telah memprediksi bahwa El Niño dan Indian Ocean Dipole (IOD) positif akan berlangsung. Apa yang akan terjadi pada Indonesia jika fenomena ini terjadi?,Iklim dan Perubahan Iklim,Bencana dan Anomali Meteorologis,Kemarau dan Kekeringan,"[""Peningkatan intensitas hujan"", ""Kemarau dan Kekeringan"",  ""Penurunan suhu ekstrem"", ""Potensi badai besar""]",https://drive.google.com/file/d/1ILuFGXWZ8IRl9kzTAw-LS-cGI5VJKDc8/view?usp=drive_link
12,"Smog atau asbut merupakan fenomena yang tengah hangat diperbincangkan akibat buruknya kualitas udara di beberapa kota di Indonesia. Berdasarkan pilihan di bawah ini, mana yang merupakan senyawa penyebab serta aktivitas yang menyebabkan meningkatnya kemungkinan terjadinya photochemical smog?",Iklim dan Perubahan Iklim,Pemanasan Global dan Perubahan Iklim,NO2; Aktivitas PLTU,"[""NO2; Aktivitas PLTU"", ""CO2; Asap kendaraan"", ""N2; Aktivitas PLTU"", ""SO3; Asap rokok""]",https://drive.google.com/file/d/1ILuFGXWZ8IRl9kzTAw-LS-cGI5VJKDc8/view?usp=drive_link
13,"Suhu ekstrem yang terjadi di negara-negara Asia Tenggara belakangan ini ditengarai merupakan bentuk dari fenomena heatwave yang tengah terjadi. Berdasarkan pernyataan di bawah ini, manakah yang tidak berkaitan dengan fenomena heatwave di Asia Tenggara pada tahun 2023?",Iklim dan Perubahan Iklim,Pemanasan Global dan Perubahan Iklim,Fenomena siklon tropis di Pasifik menambah intensitas dari heatwave,"[""Perubahan iklim menyebabkan peningkatan probabilitas serta ekstremitas dari heatwave"", ""Fenomena siklon tropis di Pasifik menambah intensitas dari heatwave"", ""Bentuk heatwave yang terjadi di Asia Tenggara merupakan humid heatwave"", ""Efek yang dirasakan dari heatwave dapat diukur menggunakan discomfort index""]",https://drive.google.com/file/d/1ILuFGXWZ8IRl9kzTAw-LS-cGI5VJKDc8/view?usp=drive_link
14,"Di bawah ini merupakan perangkat yang dapat digunakan sebagai bantuan dalam menemukan puing-puing pesawat yang tenggelam di dasar laut, kecuali","Pengelolaan Wilayah DAS, Pesisir, dan Laut",Kegiatan-kegiatan manusia di ruang/wilayah pesisir dan laut,Current Meter,"[""Current Meter"", ""Side Scan Sonar"", ""ROV"", ""Magnetometer""]",https://drive.google.com/file/d/1SHQPdyc7b1iwqmUczSXAiDwDncQiJrsH/view?usp=sharing
15,Penyebab utama terumbu karang lebih banyak ditemukan di Pesisir Utara dibandingkan Pesisir Selatan Jawa adalah,"Pengelolaan Wilayah DAS, Pesisir, dan Laut",Sifat fisis air laut,Arus dan gelombang,"[""Arus dan Gelombang"", ""Gelombang laut dengan kecuraman landai dan tenang menyebabkan sampah sulit terurai"", ""Tekanan udara yang lebih rendah menyebabkan angin memerangkap sampah di tengah Samudera Pasifik"", ""Fenomena El-Nino dan LaNina yang rutin terjadi di Samudera Pasifik""]",https://drive.google.com/file/d/1SHQPdyc7b1iwqmUczSXAiDwDncQiJrsH/view?usp=sharing
16,Faktor utama yang menyebabkan gelombang di tanjung mengalani refraksi konvergen serta gelombang di tanjung mengalami refraksi divergen adalah,"Pengelolaan Wilayah DAS, Pesisir, dan Laut",Gelombang laut,Batimetri,"[""Arah angin"", ""Batimetri"", ""Sedimen"", ""Gradien gelombang""]",https://drive.google.com/file/d/1SHQPdyc7b1iwqmUczSXAiDwDncQiJrsH/view?usp=sharing
17,The Great Pasific Garbage Patch merupakan kumpulan sampah terbesar di dunia yang terletak di permukaan laut. Penyebab utama sampah ini terakumulasi di bagian tengah Samudera Pasifik,"Pengelolaan Wilayah DAS, Pesisir, dan Laut",Arus Khusus,Sampah tersebut terjebak akibat putaran arus-arus yang membentuk gyre di Pasifik.,"[""Gelombang laut dengan kecuraman landai dan tenang menyebabkan sampah sulit terurai"", ""Tekanan udara yang lebih rendah menyebabkan angin memerangkap sampah di tengah Samudera Pasifik"", ""Fenomena El-Nino dan LaNina yang rutin terjadi di Samudera Pasifik"", ""Sampah tersebut terjebak akibat putaran arus-arus yang membentuk gyre di Pasifik""]",https://drive.google.com/file/d/1SHQPdyc7b1iwqmUczSXAiDwDncQiJrsH/view?usp=sharing
18,"Secara umum, pembentukan spit terjadi di akibat gerakan","Pengelolaan Wilayah DAS, Pesisir, dan Laut",Arus Khusus,Arus sejajar pantai,"[""Rip current"", ""Arus pasang surut"", ""Arus sejajar pantai"",""Arus upwelling dan downwelling""]",https://drive.google.com/file/d/1SHQPdyc7b1iwqmUczSXAiDwDncQiJrsH/view?usp=sharing
19,Arus thermohaline terjadi akibat adanya,"Pengelolaan Wilayah DAS, Pesisir, dan Laut",Arus Khusus,Perbedaan densitas air laut akibat adanya variasi suhu dan salinitas air laut,"[""Arus buatan yang disebabkan oleh penggunaan thermocouple oleh negara-negara di BBU"", ""Anomali pada aktivitas subtropical jet stream"", ""Salinitas berlebihan yang menyebabkan kenaikan suhu di laut mati"", ""Perbedaan densitas air laut akibat adanya variasi suhu dan salinitas air laut""]",https://drive.google.com/file/d/1SHQPdyc7b1iwqmUczSXAiDwDncQiJrsH/view?usp=sharing
20,Gempa bumi merupakan ancaman bencana regional di Indonesia. Hal ini terjadi akibat ,Kebencanaan dan Manajemen Bencana,"Jenis-jenis bencana dan Manajemennya, Bencana Alam (Gempa Bumi (Dampak, Amplifikasi, Skala), Tsunami, Tanah Longsor, Sikon Tropis (Pebentukan, Skala), Gelombang Panas, Gunung Meletus, Angin Ribut, bencana lainnya )",Dikelilingi zona subduksi,"[""Formasi struktur graben"", ""Sistem sesar saling memotong"", ""Merupakan kepulauan"", ""Dikelilingi zona subduksi""]",https://drive.google.com/file/d/1xHAVNxJV2giam7ijW2Fc1IOknS8UryRl/view?usp=drive_link
21,"Pulau Sumatera, Jawa, Bali, dan Lombok memiliki aktivitas gempa dan kegunungapian dengan frekuensi yang sangat tinggi. Hal ini diakibatkan oleh interaksi lempeng tektonik, yaitu",Kebencanaan dan Manajemen Bencana,"Jenis-jenis bencana dan Manajemennya, Bencana Alam (Gempa Bumi (Dampak, Amplifikasi, Skala), Tsunami, Tanah Longsor, Sikon Tropis (Pebentukan, Skala), Gelombang Panas, Gunung Meletus, Angin Ribut, bencana lainnya )",Subduksi antara lempeng Eurasia dengan lempeng Indo-Australia,"[""Kolisi antara lempeng Pasifik dengan lempeng Indo-Australia"", ""Kolisi antara lempeng Eurasia dengan lempeng Pasifik"", ""Subduksi antara lempeng Indo-Australia dengan lempeng Pasifik"",""Subduksi antara lempeng Eurasia dengan lempeng Indo-Australia""]",https://drive.google.com/file/d/1xHAVNxJV2giam7ijW2Fc1IOknS8UryRl/view?usp=drive_link
22,"Di bawah ini merupakan bukti gunung api mempengaruhi kehidupan manusia, kecuali",Kebencanaan dan Manajemen Bencana,"Jenis-jenis bencana dan Manajemennya, Bencana Alam (Gempa Bumi (Dampak, Amplifikasi, Skala), Tsunami, Tanah Longsor, Sikon Tropis (Pebentukan, Skala), Gelombang Panas, Gunung Meletus, Angin Ribut, bencana lainnya )","Tanah hasil letusan tidak subur","[""Aliran piroklastik merusak rumah, kebun, dan dapat menimbulkan korban jiwa"", ""Sumber energi geothermal"", ""Erupsi besar dapat menyebabkan perubahan iklim"", ""Tanah hasil letusan tidak subur""]",https://drive.google.com/file/d/1xHAVNxJV2giam7ijW2Fc1IOknS8UryRl/view?usp=drive_link
23,Alasan di Indonesia banyak terjadi gempa seperti gempa Lombok dan Palu yang terjadi pada tahun 2018 adalah,Kebencanaan dan Manajemen Bencana,"Jenis-jenis bencana dan Manajemennya, Bencana Alam (Gempa Bumi (Dampak, Amplifikasi, Skala), Tsunami, Tanah Longsor, Sikon Tropis (Pebentukan, Skala), Gelombang Panas, Gunung Meletus, Angin Ribut, bencana lainnya )"," Indonesia banyak daerah sesar aktif yang merupakan akibat dari interaksi lempeng-lempeng tektonik","[""Indonesia banyak terdapat gunung api"", ""Indonesia terletak di khatulistiwa"", ""Indonesia terbentuk pada masa kuarter muda"", "" Indonesia banyak daerah sesar aktif yang merupakan akibat dari interaksi lempeng-lempeng tektonik""]",https://drive.google.com/file/d/1xHAVNxJV2giam7ijW2Fc1IOknS8UryRl/view?usp=drive_link
24,Pengurangan risiko kekeringan berbasis masyarakat dapat diterapkan melalui konsep ,Kebencanaan dan Manajemen Bencana,"Faktor - faktor yang mempengaruhi Bencana Alam H = R x V / C, Resiko (Risk)",Pemanenan air hujan,"[""Sistem sumur resapan"", ""Pembuatan sengkedan/terasering"", ""Penghutanan kembali"", ""Pemanenan air hujan""]",https://drive.google.com/file/d/1xHAVNxJV2giam7ijW2Fc1IOknS8UryRl/view?usp=drive_link
25,Pengurangan risiko bencana kebakaran lahan di kawasan gambut dapat dilakukan dengan cara,Kebencanaan dan Manajemen Bencana,"Faktor - faktor yang mempengaruhi Bencana Alam H = R x V / C, Resiko (Risk)",Sistem kanal air,"[""Membuat bendungan"", ""Sistem tanggul"", ""Adaptasi kegiatan"", ""Sistem kanal air""]",https://drive.google.com/file/d/1xHAVNxJV2giam7ijW2Fc1IOknS8UryRl/view?usp=drive_link
26,Masyarakat di kawasan pesisir memiliki kapasitas bencana yang baik terhadap ancaman banjir rob  dengan cara beradaptasi dalam bentuk,Kebencanaan dan Manajemen Bencana,"Faktor - faktor yang mempengaruhi Bencana Alam H = R x V / C, Kapasitas (Capacity)",Struktur rumah,"[""Moda transportasi"", ""Organisasi masyarakat"", ""Jejaring jalan kota"", ""Struktur rumah""]",https://drive.google.com/file/d/1xHAVNxJV2giam7ijW2Fc1IOknS8UryRl/view?usp=drive_link
27,"Sistem peringatan dini Tsunami dengan berbasis pada pengamatan pelampung di lepas pantai menjadi tidak efektif di Indonesia, karena",Kebencanaan dan Manajemen Bencana,"Mitigasi Bencana Alam, Pra-bencana/Mitigasi (Peningkatan Kapasitas dan Pengurangan Kerentanan termasuk hard engineering dan soft engineering yang disesuaikan dengan jenis-jenis bencana)"," Sosialisasi yang kurang","[""Frekuensi kejadian jarang"", ""Ketergantungan teknologi"", ""Tidak berbasis masyarakat"", "" Sosialisasi yang kurang""]",https://drive.google.com/file/d/1xHAVNxJV2giam7ijW2Fc1IOknS8UryRl/view?usp=drive_link
28,Mitigasi non struktural yang banyak diterapkan pada kawasan rawan bencana adalah,Kebencanaan dan Manajemen Bencana,"Mitigasi Bencana Alam, Pra-bencana/Mitigasi (Peningkatan Kapasitas dan Pengurangan Kerentanan termasuk hard engineering dan soft engineering yang disesuaikan dengan jenis-jenis bencana)","Masyarakat tangguh bencana","[""Pembuatan bangunan mitigasi"", ""Instalasi sistem peringatan dini"", ""Eksekusi proyek pembangunan"", ""Masyarakat tangguh bencana""]",https://drive.google.com/file/d/1xHAVNxJV2giam7ijW2Fc1IOknS8UryRl/view?usp=drive_link
29,Rencana tata ruang yang didasarkan atas konsep pengurangan risiko bencana dapat dilihat pada pernytaan berikut,Kebencanaan dan Manajemen Bencana,"Mitigasi Bencana Alam, Pra-bencana/Mitigasi (Peningkatan Kapasitas dan Pengurangan Kerentanan termasuk hard engineering dan soft engineering yang disesuaikan dengan jenis-jenis bencana)","Menghindari kawasan rawan","[""Banyak usaha mitigasi struktural"", ""Penyesuaian kegiatan pembangunan"", ""Penerapan standar bangunan rumah"", ""Menghindari kawasan rawan""]",https://drive.google.com/file/d/1xHAVNxJV2giam7ijW2Fc1IOknS8UryRl/view?usp=drive_link
30, Adaptasi bangunan untuk menghadapi bencana gempa bumi dapat dilakukan melalui cara ,Kebencanaan dan Manajemen Bencana,"Mitigasi Bencana Alam, Pra-bencana/Mitigasi (Peningkatan Kapasitas dan Pengurangan Kerentanan termasuk hard engineering dan soft engineering yang disesuaikan dengan jenis-jenis bencana)","Menggunakan peredam guncangan dari karet untuk menyerap getaran bumi
","[""Membangun bangunan sangat berdekatan antara satu dengan yang lain"", ""Membangun bangunan yang tinggi"", ""Menggunakan bahan bangunan yang keras"", ""Menggunakan peredam guncangan dari karet untuk menyerap getaran bumi""]",https://drive.google.com/file/d/1xHAVNxJV2giam7ijW2Fc1IOknS8UryRl/view?usp=drive_link